315,366,2607,810,1950
318,312,2607,1150,1950
319,294,2607,1260,1950
321,231,2607,1600,1950
346,345,2297,810,1950
349,293,2297,1150,1950
351,276,2297,1260,1950
356,217,2297,1600,1950
301,367,2657,810,2000
302,312,2657,1150,2000
303,294,2657,1260,2000
305,231,2657,1600,2000
260,348,2657,810,2310
259,296,2657,1150,2310
258,278,2657,1260,2310
258,219,2657,1600,2310
164,356,3096,810,2673
157,304,3096,1150,2673
156,285,3096,1260,2673
151,225,3096,1600,2673
121,380,3406,810,2673
111,326,3406,1150,2673
108,306,3406,1260,2673
100,242,3406,1600,2673
84,243,3456,1600,2723
95,307,3456,1260,2723
97,326,3456,1150,2723
