SamplePoint_ID SamplePointX SamplePointY SamplePointZ ColorR ColorG ColorB ColorA
PT_0073 -1.5760 0.1020 -3.9160 0.0149 0.0000 0.9851 1.0000
PT_0074 -1.5760 0.1020 -4.2440 0.0000 0.0000 1.0000 1.0000
PT_0075 -1.5760 0.1020 -4.5720 0.0000 0.0000 1.0000 1.0000
PT_0076 -1.5760 0.1020 -4.9010 0.0000 0.0000 1.0000 1.0000
PT_0077 -1.5760 0.1020 -5.2290 0.0000 0.0000 1.0000 1.0000
PT_0078 -1.5760 0.1020 -5.5570 0.0000 0.0000 1.0000 1.0000
PT_0079 -1.5760 0.1020 -5.8860 0.0000 0.0000 1.0000 1.0000
PT_0080 -1.5760 0.1020 -6.2140 0.0000 0.0000 1.0000 1.0000
PT_0081 -1.5760 0.1020 -6.5420 0.0000 0.0000 1.0000 1.0000
PT_0082 -1.5760 0.1020 -6.8710 0.0000 0.0000 1.0000 1.0000
PT_0083 -1.5760 0.1020 -7.1990 0.0000 0.0000 1.0000 1.0000
PT_0084 -1.5760 0.1020 -7.5270 0.0000 0.0000 1.0000 1.0000
PT_0085 -1.5760 0.1020 -7.8560 0.0000 0.0000 1.0000 1.0000
PT_0086 -1.5760 0.1020 -8.1840 0.0000 0.0000 1.0000 1.0000
PT_0087 -1.5760 0.1020 -8.5120 0.0000 0.0000 1.0000 1.0000
PT_0088 -1.5760 0.1020 -8.8410 0.0000 0.0000 1.0000 1.0000
PT_0089 -1.5760 0.1020 -9.1690 0.0000 0.0000 1.0000 1.0000
PT_0090 -1.5760 0.1020 -9.4970 0.0000 0.0000 1.0000 1.0000
PT_0091 -1.5760 0.1020 -9.8250 0.0000 0.0000 1.0000 1.0000
PT_0092 -1.5760 0.1020 -10.1540 0.0000 0.0000 1.0000 1.0000
PT_0093 -1.8990 0.1020 -0.3040 0.0000 0.0000 1.0000 1.0000
PT_0094 -1.8990 0.1020 -0.6330 0.0000 0.0000 1.0000 1.0000
PT_0095 -1.8990 0.1020 -0.9610 0.0000 0.0000 1.0000 1.0000
PT_0096 -1.8990 0.1020 -1.2890 0.0000 0.0000 1.0000 1.0000
PT_0097 -1.8990 0.1020 -1.6180 0.0000 0.0000 1.0000 1.0000
PT_0098 -1.8990 0.1020 -1.9460 0.0000 0.0000 1.0000 1.0000
PT_0099 -1.8990 0.1020 -2.2740 0.0896 0.0000 0.9104 1.0000
PT_0100 -1.8990 0.1020 -2.6030 0.2281 0.0000 0.7719 1.0000
PT_0101 -1.8990 0.1020 -2.9310 0.2905 0.0000 0.7095 1.0000
PT_0102 -1.8990 0.1020 -3.2590 0.2658 0.0000 0.7342 1.0000
PT_0103 -1.8990 0.1020 -3.5880 0.1584 0.0000 0.8416 1.0000
PT_0104 -1.8990 0.1020 -3.9160 0.0000 0.0000 1.0000 1.0000
PT_0105 -1.8990 0.1020 -4.2440 0.0000 0.0000 1.0000 1.0000
PT_0106 -1.8990 0.1020 -4.5720 0.0000 0.0000 1.0000 1.0000
PT_0107 -1.8990 0.1020 -4.9010 0.0000 0.0000 1.0000 1.0000
PT_0108 -1.8990 0.1020 -5.2290 0.0000 0.0000 1.0000 1.0000
PT_0109 -1.8990 0.1020 -5.5570 0.0000 0.0000 1.0000 1.0000
PT_0110 -1.8990 0.1020 -5.8860 0.0000 0.0000 1.0000 1.0000
PT_0111 -1.8990 0.1020 -6.2140 0.0000 0.0000 1.0000 1.0000
PT_0112 -1.8990 0.1020 -6.5420 0.0000 0.0000 1.0000 1.0000
PT_0113 -1.8990 0.1020 -6.8710 0.0000 0.0000 1.0000 1.0000
PT_0114 -1.8990 0.1020 -7.1990 0.0000 0.0000 1.0000 1.0000
PT_0115 -1.8990 0.1020 -7.5270 0.0000 0.0000 1.0000 1.0000
PT_0116 -1.8990 0.1020 -7.8560 0.0000 0.0000 1.0000 1.0000
PT_0117 -1.8990 0.1020 -8.1840 0.0000 0.0000 1.0000 1.0000
PT_0118 -1.8990 0.1020 -8.5120 0.0000 0.0000 1.0000 1.0000
PT_0119 -1.8990 0.1020 -8.8410 0.0000 0.0000 1.0000 1.0000
PT_0120 -1.8990 0.1020 -9.1690 0.0000 0.0000 1.0000 1.0000
PT_0121 -1.8990 0.1020 -9.4970 0.0000 0.0000 1.0000 1.0000
PT_0122 -1.8990 0.1020 -9.8250 0.0000 0.0000 1.0000 1.0000
PT_0123 -1.8990 0.1020 -10.1540 0.0000 0.0000 1.0000 1.0000
PT_0124 -2.2230 0.1020 -0.3040 0.0000 0.0000 1.0000 1.0000
