IES File,X,Y,Z
LGP_Bottom,-0.0158172518566387,0.906169751970884,-0.422618261740699
LGP_Left,-0.906169751970884,-0.0158172518566386,-0.422618261740699
LGP_Right,0.906169751970884,0.0158172518566385,-0.422618261740699
LGP_Top,0.0158172518566386,-0.906169751970884,-0.422618261740699
S11,-0.603289118895764,0.58258953008089,-0.544639035015027
S12,-0.458078509796326,0.654203910697021,-0.601815023152048
S13,-0.204838474683674,0.714356655266186,-0.669130606358858
S14,-4.47810194947176E-17,0.73135370161917,-0.681998360062498
S15,0.217274519480706,0.710672930973352,-0.669130606358858
S16,0.451984399860046,0.645500619738656,-0.615661475325658
S17,0.593029645775782,0.593029645775782,-0.544639035015027
S21,-0.660881426274451,0.429181416425829,-0.615661475325658
S22,-0.491197644359554,0.508650050796837,-0.707106781186548
S23,-0.26596228974346,0.570357970949418,-0.777145961456971
S24,0.0105031203841127,0.601723363809066,-0.798635510047293
S25,0.260189782522844,0.557978789266117,-0.788010753606722
S26,0.491197644359554,0.508650050796837,-0.707106781186548
S27,0.660881426274451,0.42918141642583,-0.615661475325658
S31,-0.713591927283394,0.245709405184263,-0.656059028990507
S32,-0.543596817654766,0.289035554968204,-0.788010753606722
S33,-0.291819468147981,0.347776899554288,-0.891006524188368
S34,0.0249984844631928,0.357494983231718,-0.933580426497202
S35,0.32657343543829,0.315368300752939,-0.891006524188368
S36,0.548558391206597,0.279504460853482,-0.788010753606722
S37,0.713591927283394,0.245709405184263,-0.656059028990507
S41,-0.718901597968196,0.0251045969898965,-0.694658370458997
S42,-0.558852258262839,0.0195155508907393,-0.829037572555042
S43,-0.357876818725374,0.0187555293262763,-0.933580426497202
S44,0.0350195901352117,-0.038893195068355,-0.998629534754574
S45,0.358149641473215,0.0125068610734383,-0.933580426497202
S46,0.57348907788161,-0.0100102890900469,-0.819152044288992
S47,0.719339800338651,8.80908090052032E-17,-0.694658370458997
S51,-0.714356655266186,-0.204838474683674,-0.669130606358858
S52,-0.562434744229297,-0.250412081745053,-0.788010753606722
S53,-0.320178835915956,-0.343349765248398,-0.882947592858927
S54,0.031233824819576,-0.357004251303038,-0.933580426497202
S55,0.337709580239077,-0.326122350781686,-0.882947592858927
S56,0.570357970949417,-0.265962289743459,-0.777145961456971
S57,0.725473411025839,-0.208026153102362,-0.656059028990507
S61,-0.65176944487161,-0.42326402651375,-0.629320391049838
S62,-0.491197644359554,-0.491197644359554,-0.719339800338651
S63,-0.307830737662829,-0.533178477763426,-0.788010753606722
S64,0.0200175289490655,-0.573227029083538,-0.819152044288992
S65,0.263818341854059,-0.540907759782456,-0.798635510047293
S66,0.5,-0.5,-0.707106781186547
S67,0.654203910697022,-0.458078509796326,-0.601815023152048
S71,-0.58258953008089,-0.603289118895764,-0.544639035015027
S72,-0.434968073520891,-0.669792096792747,-0.601815023152048
S73,-0.204838474683674,-0.714356655266186,-0.669130606358858
S74,0.0493252756161325,-0.705384304606639,-0.707106781186548
S75,0.241944289325061,-0.702657236849389,-0.669130606358858
S76,0.446591309678187,-0.662098844605865,-0.601815023152048
S77,0.58258953008089,-0.603289118895764,-0.544639035015027
